"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Tsu Src"	"Earthquake Magnitude"	"Vol"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"[""1985 <= Year >= 1994""]"																																												
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"AK"	"ADAK, SWEEPER COVE, AK"	51.863	-176.632	13805.592696137584									0.05		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"y"	"USA"	"AK"	"KODIAK, AK"	57.730313	-152.513871	12544.364620025623									0.03		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"AK"	"SAND POINT, AK"	55.337	-160.502	12889.004337553966									0.08		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"AK"	"SEWARD, AK"	60.119	-149.427	12504.850389341833									0.03		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"AK"	"YAKUTAT, AK"	59.55	-139.733	12007.51686047478											2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"ECUADOR"	"GUAYAS"	"GUAYAQUIL"	-2.1833	-79.8833	3530.6674493906617	4	0	45	1	58				0.2		2	54													
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"HI"	"HILO, HAWAII, HI"	19.7303	-155.0553	10596.671496109695	4	12	42	13	55				0.24		2	17													
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"HI"	"HONOLULU, OAHU, HI"	21.3067	-157.867	10937.722617304093	4	14	16	15	29				0.1		2	17													
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"HI"	"HONUAPO, HAWAII, HI"	19.0845	-155.5509	10601.167617680569	4	13	33	14	46				0.1		2	15													
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"HI"	"KAHULUI, MAUI, HI"	20.895	-156.477	10791.38943925697									0.19		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"HI"	"KAILUA-KONA, HAWAII, HI"	19.63	-155.99	10672.754971866076	4	13	46	14	59				0.1		2	10													
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"HI"	"MAHUKONA, HAWAII, HI"	20.186	-155.906	10698.82254454364									0.1		2	17													
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"USA"	"HI"	"PU'ULOA, HAWAII, HI"	19.29	-155.1	10573.908032174095	4	14	37	15	50				0.1		2	24													
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"JAPAN"	"HOKKAIDO"	"NEMUROKO"	43.35	145.583	16598.668056086426	4	21	46	22	59				0.15																
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHINA"		"HONG KONG"	22.25	114.17	18671.336543806945									0.1																
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"FRENCH POLYNESIA"	"SOCIETY ISLANDS"	"PAPEETE, TAHITI"	-17.5331	-149.5726	7859.362265859149									0.1		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"FRENCH POLYNESIA"		"RIKITEA, MANGAREVA ISLAND"	-23.1221	-134.9666	6222.219097892108									0.1		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"BIOBIO"	"TALCAHUANO"	-36.683	-73.1	413.96024417965									3		1														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"BIOBIO"	"TALCAHUANO"	-36.6953	-73.1063	415.4329731691881	4	0	4	1	17				1.82		2		"R"												
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"COQUIMBO"	"COQUIMBO"	-29.95	-71.3353	354.5865011264631	3	23	35	0	48				0.55		2	20	"R"												
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"ARICA Y PARINACOTA"	"ARICA"	-18.4758	-70.3232	1629.6153534899045	4	1	24	2	37				0.5		2	60	"R"												
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"ANTOFAGASTA"	"ANTOFAGASTA"	-23.65	-70.404	1058.5726629760843	4	0	12	1	25				0.18		2	45	"R"												
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"TARAPACA"	"IQUIQUE"	-20.20457778	-70.14783056	1440.7058438806132	4	0	54	2	7				0.23		2	60	"R"												
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"ATACAMA"	"CALDERA"	-27.0644	-70.8247	677.9788069229437	3	23	50	1	3				0.2		2	33	"R"												
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"VALPARAISO"	"VALPARAISO"	-33.02767128	-71.62787275	13.778666219445922	3	22	50	0	3				1.15		2	40	"R"												
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"RUSSIA"	"KAMCHATKA"	"PETROPAVLOVSK, KAMCHATKA"	53.01667	158.65	15480.797021268465	4	21	10	22	23				0.02		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"VALPARAISO"	"QUINTAY"	-33.1935	-71.699	6.872274618083443									2	15	5														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"VALPARAISO"	"SAN ANTONIO"	-33.593333	-71.621667	51.793899787884115									3.5		5														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"CHILE"	"VALPARAISO"	"CARTAGENA"	-33.53	-71.63	44.73568076734348									2.5	24	1														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"JAPAN"	"AICHI"	"NAGOYA"	35.083	136.883	17388.500792630504				24	23				0.08		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"JAPAN"	"AOMORI"	"HACHINOHE"	40.533	141.533	16966.34882123626				23	3				0.14		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"JAPAN"	"BONIN IS, TOKYO"	"CHICHIJIMA ISLAND"	27.0939	142.1947	16707.242877924222				21	45				0.16		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"JAPAN"	"CHIBA"	"CHOSHI"	35.75	140.867	17031.884721433078				22	43				0.06		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"JAPAN"	"CHIBA"	"MERA"	34.9189	139.825	17119.330610401827				22	45				0.11		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"JAPAN"	"FUKUSHIMA"	"ONAHAMA"	36.933	140.9	17034.86165511639				23	15				0.13		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"JAPAN"	"HOKKAIDO"	"HANASAKI"	43.2781	145.5678	16600.860895772537				22	48				0.16		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"JAPAN"	"HOKKAIDO"	"KUSHIRO"	42.9756	144.3714	16701.643534497944				22	55				0.12		2														
	1985	3	3	22	47	9.5	4	1	2158	8			"n"	"JAPAN"	"HOKKAIDO"	"TOKACHIKO"	42.3	143.333	16795.595160536293									0.15		2														
