"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Tsu Src"	"Earthquake Magnitude"	"Vol"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
"[""2005 <= Year >= 2014""]"																																												
	2005	1	19	6	11	36.4	4	1	2466	6.6			"n"	"JAPAN"	"BONIN IS, TOKYO"	"MIYAKE ISLAND"	34.067	139.483	185.36346642868645									0.15		2														
	2005	1	19	6	11	36.4	4	1	2466	6.6			"n"	"JAPAN"	"CHIBA"	"MERA"	34.9189	139.825	180.02101229513386	19	6	39	0	27				0.23		2														
	2005	1	19	6	11	36.4	4	1	2466	6.6			"n"	"JAPAN"	"IZU-OSHIMA, TOKYO"	"KOZUSHIMA"	34.217	139.133	218.14022696116024	19	7	5	0	53				0.24		2														
	2005	1	19	6	11	36.4	4	1	2466	6.6			"n"	"JAPAN"	"TOKYO"	"OKADA"	34.783	139.383	209.54187746776313	19	6	35	0	23				0.23		2														
	2005	1	19	6	11	36.4	4	1	2466	6.6			"n"	"JAPAN"	"TOKYO"	"KAMINATO, HACHIJO ISLAND"	33.133	139.8	187.87160424104349	19	6	44	0	32				0.1		2														
	2005	1	19	6	11	36.4	4	1	2466	6.6			"n"	"JAPAN"	"TOKYO"	"TSUBOTA"	34.05	139.55	179.20304815419718	19	6	36	0	24				0.39		2														
	2005	1	19	6	11	36.4	4	1	2466	6.6			"n"	"JAPAN"	"SHIZUOKA"	"AKO, HONSHU"	34.067	139.483	185.36346642868645	19	6	41	0	29				0.16		2														
	2005	1	19	6	11	36.4	4	1	2466	6.6			"n"	"JAPAN"	"SHIZUOKA"	"IROZAKI"	34.617	138.85	250.62451168816673	19	7	4	0	52				0.09		2														
	2005	1	19	6	11	36.4	4	1	2466	6.6			"n"	"JAPAN"	"MIE"	"OWASE"	34.083	136.2	488.3365419218543	19	7	34	1	22				0.05		2														
